FantasyPros ECR Ranking,Name,Team,Position,QB Strength of Schedule Rank,RB Strength of Schedule Rank,WR Strength of Schedule Rank,DST Strength of Schedule Rank,Team Situation,Advice,,,,,,,,,,,,,,,,,
46,Jaylen Waddle,MIA,WR,14,32,17,30,Neutral,,,,,,,,,,,,,,,,,,
47,Antonio Gibson,WAS,RB,26,15,10,14,Neutral,,,,,,,,,,,,,,,,,,
48,J.K. Dobbins,BAL,RB,23,7,4,21,Neutral,Don't draft,,,,,,,,,,,,,,,,,
49,Brandin Cooks,HOU,WR,3,4,19,28,Neutral,Draft him,,,,,,,,,,,,,,,,,
50,Travis Etienne Jr.,JAC,RB,22,13,30,15,Bad,Sleeper,,,,,,,,,,,,,,,,,
51,Darren Waller,LV,TE,1,27,13,23,Neutral,,,,,,,,,,,,,,,,,,
52,Patrick Mahomes II,KC,QB,13,21,12,32,Good,,,,,,,,,,,,,,,,,,
53,Lamar Jackson,BAL,QB,6,1,28,7,Neutral,Don't draft,,,,,,,,,,,,,,,,,
54,Marquise Brown,ARI,WR,18,23,15,19,Neutral,Draft him,,,,,,,,,,,,,,,,,
55,Allen Robinson II,LAR,WR,17,2,1,29,Good,Draft him,,,,,,,,,,,,,,,,,
56,Gabriel Davis,BUF,WR,31,20,16,18,Neutral,Draft him,,,,,,,,,,,,,,,,,
57,Josh Jacobs,LV,RB,16,25,27,2,Neutral,,,,,,,,,,,,,,,,,,
58,Jerry Jeudy,DEN,WR,6,1,28,7,Neutral,Draft him,,,,,,,,,,,,,,,,,
59,Amari Cooper,CLE,WR,7,6,26,4,Neutral,,,,,,,,,,,,,,,,,,
60,AJ Dillon,GB,RB,14,32,17,30,Neutral,,,,,,,,,,,,,,,,,,
61,Darnell Mooney,CHI,WR,1,27,13,23,Bad,,,,,,,,,,,,,,,,,,
62,Kyler Murray,ARI,QB,,,,,Neutral,,,,,,,,,,,,,,,,,,
63,Damien Harris,NE,RB,16,25,27,2,Neutral,,,,,,,,,,,,,,,,,,
64,Rashod Bateman,BAL,WR,26,15,10,14,Neutral,,,,,,,,,,,,,,,,,,
65,Chris Godwin,TB,WR,25,10,11,25,Good,Draft him,,,,,,,,,,,,,,,,,
66,Jalen Hurts,PHI,QB,25,10,11,25,Neutral,Sleeper,,,,,,,,,,,,,,,,,
67,Dalton Schultz,DAL,TE,22,13,30,15,Neutral,,,,,,,,,,,,,,,,,,
68,Elijah Moore,NYJ,WR,6,1,28,7,Neutral,,,,,,,,,,,,,,,,,,
69,Michael Thomas,NO,WR,20,8,29,22,Neutral,,,,,,,,,,,,,,,,,,
70,Miles Sanders,PHI,RB,17,2,1,29,Neutral,,,,,,,,,,,,,,,,,,
71,Dallas Goedert,PHI,TE,23,7,4,21,Neutral,,,,,,,,,,,,,,,,,,
72,Adam Thielen,MIN,WR,16,25,27,2,Neutral,,,,,,,,,,,,,,,,,,
73,Joe Burrow,CIN,QB,3,4,19,28,Good,Don't draft,,,,,,,,,,,,,,,,,
74,JuJu Smith-Schuster,KC,WR,19,16,20,9,Good,,,,,,,,,,,,,,,,,,
75,T.J. Hockenson,DET,TE,11,29,9,11,Neutral,,,,,,,,,,,,,,,,,,
76,Amon-Ra St. Brown,DET,WR,29,9,5,27,Neutral,,,,,,,,,,,,,,,,,,
77,Clyde Edwards-Helaire,KC,RB,12,22,3,17,Good,,,,,,,,,,,,,,,,,,
78,Rashaad Penny,SEA,RB,22,13,30,15,Neutral,Don't draft,,,,,,,,,,,,,,,,,
79,DeVonta Smith,PHI,WR,20,8,29,22,Neutral,Draft him,,,,,,,,,,,,,,,,,
80,Tom Brady,TB,QB,23,7,4,21,Good,,,,,,,,,,,,,,,,,,
81,Brandon Aiyuk,SF,WR,29,9,5,27,Neutral,,,,,,,,,,,,,,,,,,
82,Kareem Hunt,CLE,RB,4,19,21,5,Neutral,,,,,,,,,,,,,,,,,,
83,Russell Wilson,DEN,QB,29,9,5,27,Neutral,Sleeper,,,,,,,,,,,,,,,,,
84,Dak Prescott,DAL,QB,32,3,31,3,Neutral,,,,,,,,,,,,,,,,,,
85,Tyler Lockett,SEA,WR,17,2,1,29,Neutral,Draft him,,,,,,,,,,,,,,,,,
86,Chase Edmonds,MIA,RB,3,4,19,28,Neutral,Sleeper,,,,,,,,,,,,,,,,,
87,Devin Singletary,BUF,RB,4,19,21,5,Neutral,Sleeper,,,,,,,,,,,,,,,,,
88,Tony Pollard,DAL,RB,4,19,21,5,Neutral,,,,,,,,,,,,,,,,,,
89,Allen Lazard,GB,WR,12,22,3,17,Neutral,Sleeper,,,,,,,,,,,,,,,,,
90,Melvin Gordon III,DEN,RB,24,28,23,12,Neutral,,,,,,,,,,,,,,,,,,
91,Dawson Knox,BUF,TE,15,31,18,13,Neutral,,,,,,,,,,,,,,,,,,
